Beginning of Training Log File
[------------- EPOCH 1 -------------]
loss: 163.264481  [   64/3920639]  time: 0.30168986320495605
loss: 148.449570  [64064/3920639]  time: 4.023074150085449
loss: 135.361069  [128064/3920639]  time: 4.1333839893341064
loss: 116.961288  [192064/3920639]  time: 4.038229942321777
loss: 142.650085  [256064/3920639]  time: 4.036794900894165
loss: 151.116852  [320064/3920639]  time: 3.9997000694274902
loss: 130.195740  [384064/3920639]  time: 4.05099892616272
loss: 150.047134  [448064/3920639]  time: 4.033746004104614
loss: 169.053467  [512064/3920639]  time: 4.026636838912964
loss: 145.454391  [576064/3920639]  time: 4.013989210128784
loss: 153.601059  [640064/3920639]  time: 4.017358064651489
loss: 156.637817  [704064/3920639]  time: 4.0181801319122314
loss: 136.868134  [768064/3920639]  time: 4.108741044998169
loss: 149.163269  [832064/3920639]  time: 4.036197185516357
loss: 132.349304  [896064/3920639]  time: 4.026020765304565
loss: 150.639557  [960064/3920639]  time: 3.9607179164886475
loss: 167.694519  [1024064/3920639]  time: 3.9647207260131836
loss: 126.130203  [1088064/3920639]  time: 4.0822179317474365
loss: 171.237000  [1152064/3920639]  time: 4.011080026626587
loss: 126.154037  [1216064/3920639]  time: 3.9995710849761963
loss: 146.283386  [1280064/3920639]  time: 4.0485680103302
loss: 153.114380  [1344064/3920639]  time: 3.9662718772888184
loss: 130.620544  [1408064/3920639]  time: 4.029632091522217
loss: 148.728668  [1472064/3920639]  time: 3.9456570148468018
loss: 136.837677  [1536064/3920639]  time: 4.040786981582642
loss: 127.704208  [1600064/3920639]  time: 4.039624929428101
loss: 145.705063  [1664064/3920639]  time: 4.124806880950928
loss: 163.328140  [1728064/3920639]  time: 4.108647108078003
loss: 140.480865  [1792064/3920639]  time: 3.991999387741089
loss: 145.765106  [1856064/3920639]  time: 4.025306224822998
loss: 115.831169  [1920064/3920639]  time: 4.0053932666778564
loss: 123.499298  [1984064/3920639]  time: 4.037554979324341
loss: 133.134766  [2048064/3920639]  time: 4.043962001800537
loss: 146.238159  [2112064/3920639]  time: 4.043220043182373
loss: 152.978424  [2176064/3920639]  time: 4.03952693939209
loss: 128.666534  [2240064/3920639]  time: 3.990636110305786
loss: 161.674194  [2304064/3920639]  time: 4.048276901245117
loss: 122.116119  [2368064/3920639]  time: 4.111156225204468
loss: 151.526306  [2432064/3920639]  time: 4.006604194641113
loss: 152.450562  [2496064/3920639]  time: 4.005871057510376
loss: 133.783722  [2560064/3920639]  time: 3.9597909450531006
loss: 129.048477  [2624064/3920639]  time: 4.058104753494263
loss: 135.405243  [2688064/3920639]  time: 4.0978899002075195
loss: 150.074188  [2752064/3920639]  time: 4.080153226852417
loss: 155.594681  [2816064/3920639]  time: 4.115411043167114
loss: 149.271194  [2880064/3920639]  time: 3.9982268810272217
loss: 159.116974  [2944064/3920639]  time: 4.075264930725098
loss: 137.313126  [3008064/3920639]  time: 4.0440919399261475
loss: 125.044601  [3072064/3920639]  time: 4.03670597076416
loss: 148.265411  [3136064/3920639]  time: 4.055119037628174
loss: 161.047577  [3200064/3920639]  time: 4.026192903518677
loss: 136.911407  [3264064/3920639]  time: 4.052841901779175
loss: 127.979324  [3328064/3920639]  time: 4.011569976806641
loss: 120.883224  [3392064/3920639]  time: 4.074773073196411
loss: 113.167664  [3456064/3920639]  time: 4.072131156921387
loss: 152.116669  [3520064/3920639]  time: 4.02123498916626
loss: 121.311172  [3584064/3920639]  time: 4.119958877563477
loss: 162.312073  [3648064/3920639]  time: 4.144310712814331
loss: 135.375610  [3712064/3920639]  time: 4.168590784072876
loss: 153.247375  [3776064/3920639]  time: 4.04942512512207
loss: 140.661011  [3840064/3920639]  time: 4.0367937088012695
loss: 170.835999  [3904064/3920639]  time: 4.1078760623931885
Test Error: 
 Accuracy: 329.7%, Avg loss: 141.447544 

Current learning rate: 5e-07
