Beginning of Training Log File
[------------- EPOCH 1 -------------]
loss: 1300.223877  [  128/6824256]  time: 1.5844001770019531
loss: 286.861816  [128128/6824256]  time: 68.91570830345154
loss: 169.846268  [256128/6824256]  time: 68.72963213920593
loss: 184.433441  [384128/6824256]  time: 68.99372005462646
loss: 157.027328  [512128/6824256]  time: 68.44421720504761
loss: 83.681458  [640128/6824256]  time: 68.4629909992218
loss: 108.413315  [768128/6824256]  time: 68.38607907295227
loss: 101.165878  [896128/6824256]  time: 68.36863899230957
loss: 103.549881  [1024128/6824256]  time: 68.50512599945068
loss: 61.974358  [1152128/6824256]  time: 68.46330118179321
loss: 62.243378  [1280128/6824256]  time: 68.40655303001404
loss: 42.352516  [1408128/6824256]  time: 68.440603017807
loss: 45.792915  [1536128/6824256]  time: 68.54813694953918
loss: 43.826160  [1664128/6824256]  time: 68.44296002388
loss: 46.335869  [1792128/6824256]  time: 68.44744396209717
loss: 40.067398  [1920128/6824256]  time: 68.4910831451416
loss: 38.416107  [2048128/6824256]  time: 68.46770119667053
loss: 29.693905  [2176128/6824256]  time: 68.38334083557129
loss: 27.969448  [2304128/6824256]  time: 68.49145793914795
loss: 35.999130  [2432128/6824256]  time: 68.63685083389282
loss: 43.002747  [2560128/6824256]  time: 68.65136384963989
loss: 28.670158  [2688128/6824256]  time: 68.5766921043396
loss: 24.298872  [2816128/6824256]  time: 68.61410689353943
loss: 23.780376  [2944128/6824256]  time: 68.50476789474487
loss: 36.287086  [3072128/6824256]  time: 68.49725389480591
loss: 22.317106  [3200128/6824256]  time: 68.53992223739624
loss: 28.796272  [3328128/6824256]  time: 68.45604491233826
loss: 27.490440  [3456128/6824256]  time: 68.51297688484192
loss: 21.685373  [3584128/6824256]  time: 68.5591471195221
loss: 32.225277  [3712128/6824256]  time: 68.4603579044342
loss: 26.510025  [3840128/6824256]  time: 68.42577481269836
loss: 30.246944  [3968128/6824256]  time: 68.47504925727844
loss: 24.324635  [4096128/6824256]  time: 68.43448209762573
loss: 19.201870  [4224128/6824256]  time: 68.4685549736023
loss: 18.970787  [4352128/6824256]  time: 68.47012591362
loss: 21.763029  [4480128/6824256]  time: 68.50289511680603
loss: 21.419664  [4608128/6824256]  time: 68.47536301612854
loss: 22.433788  [4736128/6824256]  time: 68.45120406150818
loss: 26.426794  [4864128/6824256]  time: 68.44371581077576
loss: 33.688992  [4992128/6824256]  time: 68.46464085578918
loss: 22.743896  [5120128/6824256]  time: 68.45987272262573
loss: 13.953823  [5248128/6824256]  time: 68.45579314231873
loss: 23.455193  [5376128/6824256]  time: 68.47998309135437
loss: 23.805016  [5504128/6824256]  time: 68.45259881019592
loss: 21.805607  [5632128/6824256]  time: 68.42848801612854
loss: 19.883390  [5760128/6824256]  time: 68.42907524108887
loss: 27.165277  [5888128/6824256]  time: 68.36499309539795
loss: 32.905720  [6016128/6824256]  time: 68.44057488441467
loss: 20.139420  [6144128/6824256]  time: 68.4416298866272
loss: 20.042370  [6272128/6824256]  time: 68.44511008262634
loss: 17.930357  [6400128/6824256]  time: 68.46802496910095
loss: 17.996897  [6528128/6824256]  time: 68.4187741279602
loss: 23.113689  [6656128/6824256]  time: 68.47618794441223
loss: 24.059383  [6784128/6824256]  time: 68.50679397583008
Test Error: 
 Accuracy: 28.6%, Avg loss: 22.710938 

Current learning rate: 5e-07
[------------- EPOCH 2 -------------]
loss: 22.306316  [  128/6824256]  time: 0.25156712532043457
loss: 18.854053  [128128/6824256]  time: 69.05479693412781
loss: 22.551826  [256128/6824256]  time: 69.0307457447052
loss: 25.889908  [384128/6824256]  time: 68.86510992050171
loss: 24.374134  [512128/6824256]  time: 68.83742213249207
loss: 23.076462  [640128/6824256]  time: 68.76361298561096
loss: 17.253845  [768128/6824256]  time: 68.72275614738464
loss: 22.916573  [896128/6824256]  time: 68.74308490753174
loss: 15.409271  [1024128/6824256]  time: 68.81863713264465
loss: 18.263618  [1152128/6824256]  time: 68.744784116745
loss: 19.284534  [1280128/6824256]  time: 68.77814602851868
loss: 19.864309  [1408128/6824256]  time: 68.90364909172058
loss: 15.439338  [1536128/6824256]  time: 68.85046815872192
loss: 15.695271  [1664128/6824256]  time: 68.83880805969238
loss: 16.145645  [1792128/6824256]  time: 68.75684785842896
loss: 14.154709  [1920128/6824256]  time: 68.90513682365417
loss: 16.988001  [2048128/6824256]  time: 68.796217918396
loss: 24.340782  [2176128/6824256]  time: 68.66703796386719
loss: 17.428783  [2304128/6824256]  time: 69.18257713317871
loss: 16.768721  [2432128/6824256]  time: 68.71098184585571
loss: 23.971632  [2560128/6824256]  time: 68.58962392807007
loss: 21.492208  [2688128/6824256]  time: 68.59612798690796
loss: 20.278278  [2816128/6824256]  time: 68.73484396934509
loss: 24.850677  [2944128/6824256]  time: 68.59887886047363
loss: 16.763863  [3072128/6824256]  time: 68.65663409233093
loss: 13.544584  [3200128/6824256]  time: 68.66085290908813
loss: 16.583704  [3328128/6824256]  time: 68.62821507453918
loss: 17.003363  [3456128/6824256]  time: 68.72846794128418
loss: 16.552267  [3584128/6824256]  time: 68.5872871875763
loss: 21.485569  [3712128/6824256]  time: 68.61845302581787
loss: 22.988766  [3840128/6824256]  time: 68.65843105316162
loss: 16.286324  [3968128/6824256]  time: 68.59500980377197
loss: 17.584799  [4096128/6824256]  time: 68.5973551273346
loss: 20.322559  [4224128/6824256]  time: 68.58531403541565
loss: 24.875633  [4352128/6824256]  time: 68.59449291229248
loss: 18.438156  [4480128/6824256]  time: 68.55310392379761
